NUTS,perc,urt,class
BE100,-6.8,1,3
BE211,-6.0,1,3
BE212,4.7,1,2
BE213,16.0,2,4
BE223,-1.4,2,5
BE224,-0.9,1,2
BE225,-4.7,2,5
BE231,0.0,1,2
BE232,2.5,1,2
BE233,0.0,2,5
BE234,6.9,2,4
BE235,-11.7,2,6
BE236,2.9,1,2
BE241,0.7,1,2
BE242,10.2,2,4
BE251,3.5,2,5
BE252,5.1,2,4
BE253,9.7,2,4
BE254,6.7,1,1
BE255,5.6,2,4
BE256,-0.8,2,5
BE257,0.8,2,5
BE258,1.9,2,5
BE310,30.3,2,4
BE323,6.9,1,1
BE328,0.0,2,5
BE329,-1.8,1,2
BE32A,4.8,3,8
BE32B,-11.6,1,3
BE32C,-13.4,2,6
BE32D,1.9,3,8
BE331,-7.7,3,9
BE332,-1.1,1,2
BE334,1.9,3,8
BE335,1.3,2,5
BE336,-7.0,3,9
BE341,-10.0,3,9
BE342,-7.0,3,9
BE343,-3.4,3,8
BE344,-2.4,3,8
BE345,-7.1,3,9
BE351,-1.5,3,8
BE352,-3.3,2,5
BE353,-3.6,3,8
BG311,8.0,3,7
BG312,15.4,2,4
BG313,17.1,2,4
BG314,15.4,2,4
BG315,6.7,2,4
BG321,25.9,2,4
BG322,28.6,2,4
BG323,14.3,2,4
BG324,23.1,3,7
BG325,0.0,3,8
BG331,4.1,2,5
BG332,10.7,2,4
BG333,14.3,2,4
BG334,23.1,3,7
BG341,2.4,2,5
BG342,8.7,2,4
BG343,29.2,2,4
BG344,21.4,2,4
BG411,21.2,1,1
BG412,32.5,3,7
BG413,10.3,2,4
BG414,-19.4,2,6
BG415,11.5,2,4
BG421,40.6,2,4
BG422,3.7,2,5
BG423,6.9,2,4
BG424,9.1,3,7
BG425,15.4,3,7
CZ010,7.3,1,1
CZ020,4.9,1,2
CZ031,7.1,3,7
CZ032,10.8,3,7
CZ041,-3.3,2,5
CZ042,0.0,2,5
CZ051,10.9,2,4
CZ052,15.5,2,4
CZ053,7.4,3,7
CZ063,11.9,3,7
CZ064,8.6,2,4
CZ071,16.1,2,4
CZ072,9.7,2,4
CZ080,4.3,2,5
DK011,2.9,1,2
DK012,12.3,1,1
DK013,1.9,2,5
DK014,5.9,3,7
DK021,7.1,2,4
DK022,3.5,3,8
DK031,-4.9,2,5
DK032,2.5,2,5
DK041,0.8,3,8
DK042,0.0,2,5
DK050,-2.8,3,8
DE111,-2.2,1,2
DE112,10.2,1,1
DE113,-4.5,1,2
DE114,-5.9,1,3
DE115,-2.9,1,2
DE116,-2.8,1,2
DE117,-1.2,2,5
DE118,23.9,2,4
DE119,11.8,3,7
DE11A,16.1,3,7
DE11B,2.6,3,8
DE11C,-6.1,2,6
DE11D,12.8,2,4
DE121,-6.3,1,3
DE122,-6.7,1,3
DE123,-4.2,1,2
DE124,2.3,1,2
DE125,-7.7,1,3
DE126,-9.7,1,3
DE127,0.0,3,8
DE128,-1.8,1,2
DE129,-9.7,2,6
DE12A,1.2,3,8
DE12B,2.3,2,5
DE12C,1.7,3,8
DE131,1.9,2,5
DE132,6.0,2,4
DE133,10.2,2,4
DE134,-3.9,2,5
DE135,4.9,3,8
DE136,1.8,2,5
DE137,9.0,2,4
DE138,-3.7,2,5
DE139,-6.5,2,6
DE13A,-2.2,2,5
DE141,-1.6,2,5
DE142,1.0,2,5
DE143,1.9,2,5
DE144,-4.5,2,5
DE145,3.2,2,5
DE146,12.0,3,7
DE147,2.8,2,5
DE148,12.1,2,4
DE149,2.8,3,8
DE211,56.2,2,4
DE212,3.4,1,2
DE213,2.0,2,5
DE214,-13.0,2,6
DE215,9.7,2,4
DE216,-5.4,2,6
DE217,11.4,2,4
DE218,-7.8,2,6
DE219,23.0,2,4
DE21A,8.1,3,7
DE21B,-2.6,2,5
DE21C,6.7,2,4
DE21D,5.7,2,4
DE21E,10.5,3,7
DE21F,13.9,2,4
DE21G,10.6,3,7
DE21H,-1.5,1,2
DE21I,1.8,3,8
DE21J,10.3,2,4
DE21K,7.5,2,4
DE21L,-10.5,2,6
DE21M,13.1,3,7
DE21N,9.9,2,4
DE221,-1.7,3,8
DE222,-9.2,3,9
DE223,-0.6,3,8
DE224,9.0,3,7
DE225,23.0,3,7
DE226,2.2,3,8
DE227,1.9,3,8
DE228,4.7,3,8
DE229,18.8,3,7
DE22A,8.8,3,7
DE22B,14.9,3,7
DE22C,17.0,3,7
DE231,15.1,2,4
DE232,-8.4,2,6
DE233,-6.2,3,9
DE234,10.7,2,4
DE235,15.3,3,7
DE236,17.3,3,7
DE237,24.7,3,7
DE238,5.6,2,4
DE239,9.2,3,7
DE23A,35.2,3,7
DE241,-2.6,2,5
DE242,5.1,2,4
DE243,26.0,2,4
DE244,-7.3,2,6
DE245,16.2,2,4
DE246,6.3,2,4
DE247,5.3,2,4
DE248,44.1,2,4
DE249,25.6,2,4
DE24A,-1.0,3,8
DE24B,14.1,3,7
DE24C,-1.9,3,8
DE24D,20.2,3,7
DE251,6.8,3,7
DE252,8.1,1,1
DE253,-3.5,1,2
DE254,3.4,1,2
DE255,-2.7,1,2
DE256,9.4,3,7
DE257,15.5,1,1
DE258,-1.4,1,2
DE259,0.0,2,5
DE25A,15.2,3,7
DE25B,15.4,2,4
DE25C,6.9,3,7
DE261,-2.7,1,2
DE262,0.3,2,5
DE263,10.2,2,4
DE264,-5.7,1,3
DE265,9.0,3,7
DE266,22.2,3,7
DE267,11.8,3,7
DE268,10.3,3,7
DE269,7.5,2,4
DE26A,6.8,3,7
DE26B,-10.8,2,6
DE26C,-1.2,2,5
DE271,-7.5,1,3
DE272,-1.8,2,5
DE273,-4.3,2,5
DE274,-1.6,3,8
DE275,1.2,2,5
DE276,9.6,1,1
DE277,18.2,3,7
DE278,3.0,3,8
DE279,0.0,2,5
DE27A,15.2,2,4
DE27B,11.2,2,4
DE27C,22.3,3,7
DE27D,10.5,3,7
DE27E,11.5,2,4
DE300,9.7,1,1
DE401,3.2,2,5
DE402,-2.8,2,5
DE403,-12.4,2,6
DE404,1.6,2,5
DE405,9.8,2,4
DE406,-9.3,2,6
DE407,15.4,3,7
DE408,5.0,2,4
DE409,-1.5,2,5
DE40A,-4.9,2,5
DE40B,12.2,2,4
DE40C,8.3,2,4
DE40D,13.7,3,7
DE40E,16.4,2,4
DE40F,15.9,3,7
DE40G,0.0,2,5
DE40H,30.6,2,4
DE40I,8.5,3,7
DE501,-8.5,1,3
DE502,-10.3,2,6
DE600,-6.3,1,3
DE711,2.6,1,2
DE712,-17.1,1,3
DE713,-23.6,1,3
DE714,-3.0,1,2
DE715,-14.9,1,3
DE716,1.2,1,2
DE717,-2.2,1,2
DE718,-16.1,1,3
DE719,7.8,2,4
DE71A,-10.2,1,3
DE71B,0.0,3,8
DE71C,-1.7,1,2
DE71D,-6.3,2,6
DE71E,-2.2,2,5
DE721,-10.0,2,6
DE722,-8.9,2,6
DE723,5.7,2,4
DE724,0.0,2,5
DE725,3.8,3,8
DE731,-7.8,2,6
DE732,-0.9,2,5
DE733,-3.4,3,8
DE734,11.0,2,4
DE735,7.8,3,7
DE736,11.9,3,7
DE737,-6.3,3,9
DE803,9.9,2,4
DE804,3.4,3,8
DE80J,6.3,3,7
DE80K,13.0,2,4
DE80L,6.9,3,7
DE80M,7.2,3,7
DE80N,13.4,3,7
DE80O,13.8,3,7
DE911,-3.4,2,5
DE912,8.3,2,4
DE913,52.1,2,4
DE914,3.4,2,5
DE916,1.2,2,5
DE917,-3.2,3,8
DE918,2.5,3,8
DE91A,-15.6,2,6
DE91B,1.6,2,5
DE91C,2.9,2,5
DE922,1.1,2,5
DE923,-3.7,2,5
DE925,0.0,2,5
DE926,7.0,3,7
DE927,9.5,3,7
DE928,8.5,2,4
DE929,-0.7,1,2
DE931,3.5,2,5
DE932,14.3,2,4
DE933,5.8,2,4
DE934,5.6,3,7
DE935,7.5,2,4
DE936,3.3,2,5
DE937,10.3,3,7
DE938,10.9,2,4
DE939,3.3,2,5
DE93A,3.8,3,8
DE93B,2.2,2,5
DE941,1.4,1,2
DE942,38.2,2,4
DE943,-0.7,2,5
DE944,-3.2,2,5
DE945,-7.4,2,6
DE946,16.0,2,4
DE947,14.5,2,4
DE948,10.9,3,7
DE949,5.8,3,7
DE94A,8.0,2,4
DE94B,7.8,2,4
DE94C,-2.5,2,5
DE94D,4.2,2,5
DE94E,4.6,2,5
DE94F,5.6,2,4
DE94G,-16.2,2,6
DE94H,19.1,3,7
DEA11,-10.5,1,3
DEA12,-14.8,1,3
DEA13,-12.1,1,3
DEA14,-11.8,1,3
DEA15,-1.0,1,2
DEA16,-18.1,1,3
DEA17,-8.0,1,3
DEA18,-5.2,1,3
DEA19,0.0,1,2
DEA1A,-3.5,1,2
DEA1B,5.7,2,4
DEA1C,-4.7,1,2
DEA1D,-7.8,1,3
DEA1E,-4.4,1,2
DEA1F,1.2,1,2
DEA22,-10.9,1,3
DEA23,0.0,1,2
DEA24,-3.2,1,2
DEA26,-1.1,2,5
DEA27,2.9,1,2
DEA28,-3.5,2,5
DEA29,9.9,2,4
DEA2A,0.0,2,5
DEA2B,7.7,1,1
DEA2C,-3.4,1,2
DEA2D,4.6,1,2
DEA31,0.0,1,2
DEA32,-7.0,1,3
DEA33,-22.9,1,3
DEA34,10.8,2,4
DEA35,7.5,1,1
DEA36,0.0,1,2
DEA37,6.5,2,4
DEA38,0.0,2,5
DEA41,4.2,1,2
DEA42,5.1,1,1
DEA43,2.0,1,2
DEA44,5.0,3,7
DEA45,2.2,2,5
DEA46,5.9,2,4
DEA47,-2.7,2,5
DEA51,0.0,1,2
DEA52,4.4,1,2
DEA53,-12.3,1,3
DEA54,-7.4,1,3
DEA55,-3.8,1,2
DEA56,-6.2,1,3
DEA57,8.8,2,4
DEA58,-1.8,1,2
DEA59,5.3,2,4
DEA5A,-5.6,2,6
DEA5B,3.8,2,5
DEA5C,0.0,1,2
DEB11,-7.3,2,6
DEB12,14.3,2,4
DEB13,0.0,3,8
DEB14,-2.2,2,5
DEB15,6.0,3,7
DEB17,3.4,2,5
DEB18,2.1,2,5
DEB1A,11.0,2,4
DEB1B,8.7,3,7
DEB1C,10.6,3,7
DEB1D,15.2,3,7
DEB21,-12.2,2,6
DEB22,4.4,3,8
DEB23,2.4,3,8
DEB24,12.8,3,7
DEB25,15.4,2,4
DEB31,-8.6,1,3
DEB32,-2.1,2,5
DEB33,0.0,1,2
DEB34,-6.0,1,3
DEB35,-8.8,1,3
DEB36,-2.1,2,5
DEB37,0.9,3,8
DEB38,7.4,1,1
DEB39,8.4,1,1
DEB3A,-11.3,2,6
DEB3B,2.8,3,8
DEB3C,-5.8,2,6
DEB3D,12.0,3,7
DEB3E,12.6,1,1
DEB3F,3.3,2,5
DEB3G,-3.6,3,8
DEB3H,8.0,2,4
DEB3I,3.5,1,2
DEB3J,14.9,2,4
DEB3K,2.1,3,8
DEC01,-6.4,1,3
DEC02,-10.2,2,6
DEC03,-1.3,2,5
DEC04,-26.4,1,3
DEC05,-8.7,1,3
DEC06,11.4,2,4
DED21,0.0,1,2
DED2C,12.7,3,7
DED2D,18.6,2,4
DED2E,3.8,2,5
DED2F,11.1,1,1
DED41,2.8,2,5
DED42,12.7,2,4
DED43,-3.6,2,5
DED44,6.9,2,4
DED45,16.3,2,4
DED51,6.7,1,1
DED52,11.3,1,1
DED53,9.1,3,7
DEE01,0.0,2,5
DEE02,1.1,2,5
DEE03,-6.3,2,6
DEE04,5.9,3,7
DEE05,4.6,2,5
DEE06,6.8,3,7
DEE07,2.4,2,5
DEE08,4.1,3,8
DEE09,5.8,2,4
DEE0A,14.3,3,7
DEE0B,7.2,2,4
DEE0C,14.9,2,4
DEE0D,21.2,3,7
DEE0E,11.8,3,7
DEF01,-11.3,2,6
DEF02,-3.4,1,2
DEF03,4.0,2,5
DEF04,12.9,2,4
DEF05,13.3,3,7
DEF06,1.4,2,5
DEF07,4.0,3,8
DEF08,12.3,2,4
DEF09,-6.3,1,3
DEF0A,3.3,1,2
DEF0B,4.7,2,5
DEF0C,9.6,2,4
DEF0D,-1.0,2,5
DEF0E,-1.0,2,5
DEF0F,-4.7,2,5
DEG01,-1.6,2,5
DEG02,3.6,2,5
DEG03,17.7,2,4
DEG04,6.3,2,4
DEG05,0.0,2,5
DEG06,16.9,3,7
DEG07,6.8,2,4
DEG09,2.8,3,8
DEG0A,15.5,3,7
DEG0B,12.3,2,4
DEG0C,7.7,3,7
DEG0D,26.2,2,4
DEG0E,9.8,3,7
DEG0F,16.0,3,7
DEG0G,9.2,2,4
DEG0H,12.2,3,7
DEG0I,2.6,2,5
DEG0J,4.5,2,5
DEG0K,21.9,3,7
DEG0L,22.0,2,4
DEG0M,8.2,2,4
DEG0N,19.8,3,7
DEG0P,5.1,3,7
EE001,18.0,1,1
EE004,-5.9,3,9
EE008,11.5,3,7
EE009,13.6,3,7
EE00A,2.2,1,2
IE041,-21.0,3,9
IE042,-9.2,3,9
IE051,62.6,3,7
IE052,46.6,3,7
IE053,115.7,3,7
IE061,38.5,1,1
IE062,3.5,2,5
IE063,-35.3,3,9
EL301,-21.7,1,3
EL302,-31.3,1,3
EL303,-22.3,1,3
EL304,-28.0,1,3
EL305,-40.5,1,3
EL306,-44.4,1,3
EL307,-28.4,1,3
EL411,-41.3,3,9
EL412,-47.6,3,9
EL413,-41.9,2,6
EL421,-34.7,2,6
EL422,-31.3,3,9
EL431,-36.5,2,6
EL432,-22.0,3,9
EL433,-28.9,3,9
EL434,-31.8,2,6
EL511,-28.4,2,6
EL512,-39.7,2,6
EL513,-37.9,3,9
EL514,-29.3,2,6
EL515,-31.3,3,9
EL521,-33.3,2,6
EL522,-33.3,1,3
EL523,-32.8,3,9
EL524,-26.2,3,9
EL525,-31.3,2,6
EL526,-18.0,3,9
EL527,-28.0,3,9
EL531,-24.0,3,9
EL532,-29.3,2,6
EL533,-20.5,3,9
EL541,-20.7,3,9
EL542,-38.8,3,9
EL543,-30.3,2,6
EL611,-22.8,3,9
EL612,-28.2,2,6
EL613,-35.4,2,6
EL621,-32.7,3,9
EL622,-34.4,3,9
EL623,-40.2,3,9
EL624,-20.3,3,9
EL631,-28.1,3,9
EL632,-35.8,2,6
EL633,-27.9,3,9
EL641,-18.3,3,9
EL642,-35.4,3,9
EL643,-29.8,3,9
EL644,-32.1,3,9
EL645,-36.8,3,9
EL651,-21.7,3,9
EL652,-29.5,2,6
EL653,-25.4,3,9
ES111,-9.7,2,6
ES112,-1.2,3,8
ES113,0.0,3,8
ES114,-12.2,2,6
ES120,-14.9,2,6
ES130,-13.4,2,6
ES211,-20.3,1,3
ES212,-9.2,1,3
ES213,-8.9,1,3
ES220,-12.7,2,6
ES230,-11.8,2,6
ES241,-14.0,2,6
ES242,-18.5,3,9
ES243,-9.9,1,3
ES300,-8.8,1,3
ES411,-8.9,3,9
ES412,-8.8,2,6
ES413,-12.6,2,6
ES414,-8.6,2,6
ES415,-9.8,2,6
ES416,-17.9,3,9
ES417,-1.0,3,8
ES418,-6.9,2,6
ES419,-9.1,3,9
ES421,-5.1,2,6
ES422,-11.9,2,6
ES423,-4.8,3,8
ES424,-15.1,2,6
ES425,-20.7,2,6
ES431,-11.1,2,6
ES432,2.9,2,5
ES511,-9.2,1,3
ES512,-15.4,2,6
ES513,-15.8,2,6
ES514,-9.4,2,6
ES521,-14.8,1,3
ES522,-2.0,2,5
ES523,-14.4,1,3
ES531,2.2,2,5
ES532,-12.9,1,3
ES533,-17.8,2,6
ES611,-17.0,2,6
ES612,-15.8,1,3
ES613,-16.2,1,3
ES614,-12.2,2,6
ES615,-10.3,2,6
ES616,-11.4,2,6
ES617,-15.4,1,3
ES618,-14.3,1,3
ES620,-14.0,1,3
ES630,-17.2,1,3
ES640,-19.5,2,6
ES703,-20.3,3,9
ES704,-21.7,2,6
ES705,-16.3,1,3
ES706,-20.0,3,9
ES707,-18.5,2,6
ES708,-10.6,2,6
ES709,-19.6,1,3
FR101,15.2,1,1
FR102,-4.2,2,5
FR103,-5.3,1,3
FR104,0.0,1,2
FR105,5.8,1,1
FR106,5.3,1,1
FR107,1.7,1,2
FR108,-15.0,1,3
FRB01,-7.1,3,9
FRB02,-6.0,3,9
FRB03,-6.3,3,9
FRB04,-2.2,2,5
FRB05,-7.1,3,9
FRB06,-8.6,2,6
FRC11,-5.5,2,6
FRC12,-8.9,3,9
FRC13,-10.2,3,9
FRC14,-11.8,3,9
FRC21,-6.5,2,6
FRC22,-6.0,3,9
FRC23,-9.9,3,9
FRC24,-22.9,2,6
FRD11,-10.3,2,6
